no,num1,num2,num3,num4,num5,num6,binus,winning_1,winning_2,winning_3,winning_4,winning_5
177,1,10,13,16,37,43,6,"1,693,285,500.00","65,849,992.00","1,567,857.00","61,316.00","5,000.00"
178,1,5,11,12,18,23,9,"2,254,621,080.00","42,701,157.00","1,199,778.00","50,364.00","5,000.00"
179,5,9,17,25,39,43,32,"1,081,093,920.00","33,996,665.00","1,170,016.00","51,514.00","5,000.00"
180,2,15,20,21,29,34,22,"5,763,371,550.00","54,889,253.00","1,496,203.00","61,109.00","5,000.00"
181,14,21,23,32,40,45,44,"1,941,763,300.00","80,906,805.00","1,574,829.00","64,046.00","5,000.00"
182,13,15,27,29,34,40,35,"3,721,439,400.00","42,289,085.00","1,515,245.00","63,071.00","5,000.00"
183,2,18,24,34,40,42,5,"1,777,221,500.00","71,088,860.00","1,373,433.00","52,944.00","5,000.00"
184,1,2,6,16,20,33,41,"1,747,753,050.00","56,379,131.00","1,313,113.00","55,183.00","5,000.00"
185,1,2,4,8,19,38,14,"3,522,485,800.00","51,801,262.00","1,434,237.00","53,422.00","5,000.00"
186,4,10,14,19,21,45,9,"1,187,882,600.00","38,735,303.00","1,524,230.00","60,849.00","5,000.00"
187,1,2,8,18,29,38,42,"1,544,733,900.00","94,852,082.00","1,438,300.00","60,295.00","5,000.00"
188,19,24,27,30,31,34,36,"3,501,405,200.00","53,051,594.00","1,326,290.00","57,188.00","5,000.00"
189,8,14,32,35,37,45,28,"3,461,775,100.00","52,451,138.00","1,595,289.00","66,327.00","5,000.00"
190,8,14,18,30,31,44,15,"1,784,159,450.00","54,065,438.00","1,756,063.00","66,337.00","5,000.00"
191,5,6,24,25,32,37,8,"2,577,114,675.00","74,698,977.00","1,500,504.00","57,606.00","5,000.00"
192,4,8,11,18,37,45,33,"2,445,348,375.00","42,900,849.00","1,484,729.00","58,467.00","5,000.00"
193,6,14,18,26,36,39,13,"3,404,449,700.00","85,111,243.00","1,499,758.00","58,059.00","5,000.00"
194,15,20,23,26,39,44,28,"2,650,567,875.00","84,145,012.00","1,648,364.00","65,985.00","5,000.00"
195,7,10,19,22,35,40,31,"918,992,591.00","25,527,572.00","996,346.00","47,916.00","5,000.00"
196,35,36,37,41,44,45,30,"727,876,520.00","67,395,975.00","1,198,743.00","62,663.00","5,000.00"
197,7,12,16,34,42,45,4,"1,803,018,300.00","42,929,008.00","1,467,062.00","61,588.00","5,000.00"
198,12,19,20,25,41,45,2,"1,797,855,050.00","71,914,202.00","1,712,243.00","64,564.00","5,000.00"
199,14,21,22,25,30,36,43,"5,344,252,200.00","77,452,931.00","1,698,206.00","64,281.00","5,000.00"
200,5,6,13,14,17,20,7,"1,344,616,613.00","30,910,727.00","1,292,590.00","54,137.00","5,000.00"
201,3,11,24,38,39,44,26,"9,719,465,400.00","43,781,376.00","1,202,607.00","53,073.00","5,000.00"
202,12,14,27,33,39,44,17,"1,893,391,700.00","47,334,793.00","1,536,844.00","60,558.00","5,000.00"
203,1,3,11,24,30,32,7,"2,164,564,740.00","41,948,930.00","1,358,287.00","53,913.00","5,000.00"
204,3,12,14,35,40,45,5,"1,358,347,125.00","78,744,761.00","1,534,856.00","62,837.00","5,000.00"
205,1,3,21,29,35,37,30,"1,835,221,800.00","87,391,515.00","1,671,423.00","65,466.00","5,000.00"
206,1,2,3,15,20,25,43,"2,032,859,340.00","47,056,930.00","1,093,641.00","50,992.00","5,000.00"
207,3,11,14,31,32,37,38,"2,104,673,760.00","47,402,563.00","1,457,935.00","57,627.00","5,000.00"
208,14,25,31,34,40,44,24,"1,760,767,400.00","51,787,277.00","1,438,536.00","54,787.00","5,000.00"
209,2,7,18,20,24,33,37,"1,660,896,350.00","48,849,893.00","1,223,046.00","50,351.00","5,000.00"
210,10,19,22,23,25,37,39,"5,139,085,950.00","37,239,754.00","1,319,745.00","53,262.00","5,000.00"
211,12,13,17,20,33,41,8,"1,035,800,250.00","59,528,750.00","1,319,828.00","53,295.00","5,000.00"
212,11,12,18,21,31,38,8,"2,660,747,250.00","49,273,098.00","1,444,489.00","55,382.00","5,000.00"
213,2,3,4,5,20,24,42,"1,376,678,025.00","55,623,355.00","928,463.00","38,462.00","5,000.00"
214,5,7,20,25,28,37,32,"1,406,980,875.00","52,110,403.00","1,309,124.00","53,433.00","5,000.00"
215,2,3,7,15,43,44,4,"1,587,689,615.00","57,884,518.00","1,484,219.00","56,218.00","5,000.00"
216,7,16,17,33,36,40,1,"848,506,108.00","29,181,427.00","703,840.00","46,441.00","5,000.00"
217,16,20,27,33,35,39,38,"1,611,246,172.00","64,820,249.00","1,558,696.00","58,601.00","5,000.00"
218,1,8,14,18,29,44,20,"2,779,075,800.00","71,258,354.00","1,540,081.00","61,255.00","5,000.00"
219,4,11,20,26,35,37,16,"1,208,409,167.00","44,210,092.00","1,402,952.00","56,743.00","5,000.00"
220,5,11,19,21,34,43,31,"1,958,094,950.00","69,931,963.00","1,486,785.00","58,216.00","5,000.00"
221,2,20,33,35,37,40,10,"1,800,104,250.00","40,911,461.00","1,119,468.00","47,711.00","5,000.00"
222,5,7,28,29,39,43,44,"2,275,193,820.00","57,454,390.00","1,715,833.00","66,418.00","5,000.00"
223,1,3,18,20,26,27,38,"1,498,170,600.00","44,817,070.00","1,234,369.00","51,782.00","5,000.00"
224,4,19,26,27,30,42,7,"1,808,969,950.00","69,575,768.00","1,562,151.00","59,753.00","5,000.00"
225,5,11,13,19,31,36,7,"1,777,201,800.00","43,346,386.00","1,380,888.00","54,448.00","5,000.00"
226,2,6,8,14,21,22,34,"1,744,100,150.00","45,897,373.00","1,336,476.00","54,439.00","5,000.00"
227,4,5,15,16,22,42,2,"5,253,542,400.00","72,965,867.00","1,587,653.00","61,811.00","5,000.00"
228,17,25,35,36,39,44,23,"1,146,700,334.00","44,103,859.00","1,285,539.00","52,122.00","5,000.00"
229,4,5,9,11,23,38,35,"1,451,441,100.00","62,716,591.00","1,290,662.00","50,156.00","5,000.00"
230,5,11,14,29,32,33,12,"1,292,929,163.00","68,956,222.00","1,662,397.00","61,190.00","5,000.00"
